Tiempo,periodo,rpm
0.353,0.0865,693.6416184971099
0.501,0.0615,975.609756097561
0.581,0.05225000000000002,1148.3253588516743
0.645,0.045999999999999985,1304.347826086957
0.699,0.04150000000000001,1445.7831325301202
0.747,0.038000000000000006,1578.9473684210525
0.79,0.035250000000000004,1702.127659574468
0.829,0.03325,1804.5112781954886
0.865,0.03175,1889.763779527559
0.899,0.03025,1983.4710743801654
0.931,0.02899999999999997,2068.9655172413813
0.962,0.027749999999999997,2162.1621621621625
0.992,0.026500000000000024,2264.150943396224
1.02,0.025500000000000023,2352.941176470586
1.047,0.024500000000000022,2448.9795918367327
1.073,0.02350000000000002,2553.1914893617
1.098,0.022499999999999964,2666.666666666671
1.122,0.02174999999999999,2758.6206896551735
1.145,0.02100000000000002,2857.1428571428546
1.167,0.020500000000000018,2926.8292682926804
1.188,0.020000000000000018,2999.9999999999973
1.209,0.01924999999999999,3116.8831168831184
1.229,0.01899999999999996,3157.894736842112
1.249,0.01849999999999996,3243.24324324325
1.268,0.018000000000000016,3333.3333333333303
1.286,0.017749999999999988,3380.2816901408473
1.305,0.017250000000000043,3478.260869565209
1.323,0.017000000000000015,3529.4117647058792
1.34,0.01699999999999996,3529.4117647058906
1.357,0.016749999999999987,3582.0895522388087
1.374,0.01649999999999996,3636.3636363636456
1.391,0.016249999999999987,3692.3076923076956
1.408,0.015750000000000042,3809.5238095237996
1.424,0.015750000000000042,3809.5238095237996
1.44,0.015500000000000014,3870.9677419354803
1.456,0.015249999999999986,3934.4262295082003
1.471,0.014999999999999958,4000.0000000000114
1.487,0.014749999999999985,4067.7966101694956
1.502,0.014500000000000013,4137.9310344827545
1.517,0.01425000000000004,4210.5263157894615
1.531,0.01425000000000004,4210.5263157894615
1.546,0.014000000000000012,4285.714285714282
1.56,0.014000000000000012,4285.714285714282
1.574,0.013999999999999957,4285.714285714299
1.588,0.013749999999999984,4363.6363636363685
1.602,0.013749999999999984,4363.6363636363685
1.616,0.013499999999999956,4444.444444444459
1.63,0.01325000000000004,4528.301886792439
1.643,0.013249999999999984,4528.301886792458
1.657,0.013000000000000012,4615.384615384612
1.67,0.012750000000000039,4705.882352941162
1.683,0.012500000000000011,4799.999999999995
1.696,0.012250000000000039,4897.959183673454
1.709,0.011999999999999955,5000.000000000019
1.721,0.011999999999999955,5000.000000000019
1.733,0.011999999999999955,5000.000000000019
1.745,0.011749999999999983,5106.382978723412
1.757,0.011750000000000038,5106.382978723388
1.769,0.01150000000000001,5217.3913043478215
1.781,0.01150000000000001,5217.3913043478215
